# mode,a_m,b_m
1,-2.810584e-06,0.000000e+00
2,7.152189e-07,0.000000e+00
3,2.279127e-08,0.000000e+00
4,4.768197e-09,0.000000e+00
5,5.919932e-09,0.000000e+00
6,1.178093e-09,0.000000e+00
7,-4.060923e-09,0.000000e+00
8,-1.859671e-09,0.000000e+00
9,4.849641e-11,0.000000e+00
10,1.065081e-09,0.000000e+00
11,-5.508390e-10,0.000000e+00
12,1.666771e-10,0.000000e+00
13,6.598062e-11,0.000000e+00
14,1.088131e-10,0.000000e+00
15,-3.008482e-11,0.000000e+00
16,-3.450788e-12,0.000000e+00
17,-4.332323e-11,0.000000e+00
18,-5.522498e-11,0.000000e+00
19,-2.099167e-11,0.000000e+00
20,-1.488556e-11,0.000000e+00
21,-4.784599e-11,0.000000e+00
22,-4.536505e-11,0.000000e+00
23,2.806499e-11,0.000000e+00
24,-1.618980e-12,0.000000e+00
25,-1.434613e-11,0.000000e+00
26,1.804764e-11,0.000000e+00
27,1.018839e-12,0.000000e+00
28,8.271955e-12,0.000000e+00
29,-3.042370e-12,0.000000e+00
30,-1.077655e-12,0.000000e+00
31,1.247725e-12,0.000000e+00
32,-1.419321e-12,0.000000e+00
33,1.162755e-12,0.000000e+00
34,3.697874e-12,0.000000e+00
35,-1.877833e-12,0.000000e+00
36,7.859365e-13,0.000000e+00
37,-2.877491e-12,0.000000e+00
38,-2.072973e-12,0.000000e+00
39,-1.451548e-12,0.000000e+00
40,1.545015e-12,0.000000e+00
41,-1.619395e-12,0.000000e+00
42,9.330146e-13,0.000000e+00
43,7.051106e-13,0.000000e+00
44,4.197009e-13,0.000000e+00
45,2.533613e-13,0.000000e+00
46,-1.245277e-13,0.000000e+00
47,2.346838e-13,0.000000e+00
48,1.803008e-13,0.000000e+00
49,2.192739e-13,0.000000e+00
50,-1.340662e-13,0.000000e+00
51,4.662980e-13,0.000000e+00
52,-2.320934e-13,0.000000e+00
53,-5.824271e-13,0.000000e+00
54,1.430845e-13,0.000000e+00
55,4.631463e-13,0.000000e+00
56,-5.787744e-14,0.000000e+00
57,4.062997e-13,0.000000e+00
58,2.231377e-13,0.000000e+00
59,-1.277015e-13,0.000000e+00
60,1.519292e-13,0.000000e+00
61,-5.141875e-14,0.000000e+00
62,-7.748152e-14,0.000000e+00
63,-1.558624e-13,0.000000e+00
64,-1.306107e-13,0.000000e+00
65,2.436157e-13,0.000000e+00
66,2.721025e-13,0.000000e+00
67,-1.514014e-13,0.000000e+00
68,-2.406126e-13,0.000000e+00
69,-3.777388e-13,0.000000e+00
70,7.039016e-13,0.000000e+00
71,-4.807024e-13,0.000000e+00
72,5.397356e-14,0.000000e+00
73,-2.595588e-13,0.000000e+00
74,-3.581295e-13,0.000000e+00
75,-2.321057e-13,0.000000e+00
76,-5.558197e-13,0.000000e+00
77,-2.022908e-13,0.000000e+00
78,-3.566536e-14,0.000000e+00
79,2.416388e-13,0.000000e+00
80,-3.542612e-13,0.000000e+00
81,1.194035e-15,0.000000e+00
82,6.135103e-13,0.000000e+00
83,-3.572913e-13,0.000000e+00
84,-7.557087e-15,0.000000e+00
85,-1.109630e-13,0.000000e+00
86,3.267458e-13,0.000000e+00
87,-8.287441e-14,0.000000e+00
88,2.289830e-13,0.000000e+00
89,7.587525e-15,0.000000e+00
90,-3.738253e-14,0.000000e+00
91,5.774651e-14,0.000000e+00
92,2.499960e-13,0.000000e+00
93,3.247303e-14,0.000000e+00
94,5.495442e-14,0.000000e+00
95,2.124972e-13,0.000000e+00
96,-1.437049e-13,0.000000e+00
97,-1.499260e-13,0.000000e+00
98,-2.351862e-13,0.000000e+00
99,3.460920e-15,0.000000e+00
100,6.651986e-14,0.000000e+00
101,5.720771e-14,0.000000e+00
102,2.025200e-13,0.000000e+00
103,4.244815e-14,0.000000e+00
104,-1.636822e-13,0.000000e+00
105,-1.314445e-13,0.000000e+00
106,-1.016382e-13,0.000000e+00
107,3.977404e-14,0.000000e+00
108,1.337002e-13,0.000000e+00
109,-8.599188e-14,0.000000e+00
110,-6.876867e-14,0.000000e+00
111,-3.989950e-14,0.000000e+00
112,2.423547e-14,0.000000e+00
113,1.951693e-14,0.000000e+00
114,-7.737659e-15,0.000000e+00
115,-1.560689e-14,0.000000e+00
116,-2.008456e-16,0.000000e+00
117,1.544430e-14,0.000000e+00
118,-7.235435e-15,0.000000e+00
119,1.138581e-14,0.000000e+00
120,-3.643547e-15,0.000000e+00
121,-2.423821e-15,0.000000e+00
122,1.497523e-15,0.000000e+00
123,-1.512907e-13,0.000000e+00
124,1.433609e-12,0.000000e+00
125,4.858751e-14,0.000000e+00
126,2.761340e-12,0.000000e+00
127,4.172640e-13,0.000000e+00
128,-4.216251e-12,0.000000e+00
129,9.906366e-13,0.000000e+00
130,-2.570994e-12,0.000000e+00
131,6.622290e-13,0.000000e+00
132,-6.059242e-13,0.000000e+00
133,-7.124442e-14,0.000000e+00
134,4.067511e-13,0.000000e+00
135,-5.709389e-13,0.000000e+00
136,2.213032e-13,0.000000e+00
137,1.113868e-13,0.000000e+00
138,-8.294025e-13,0.000000e+00
139,9.701506e-14,0.000000e+00
140,4.080606e-13,0.000000e+00
141,-9.625864e-14,0.000000e+00
142,7.557391e-14,0.000000e+00
143,8.931247e-15,0.000000e+00
144,-7.964158e-15,0.000000e+00
145,3.380488e-14,0.000000e+00
146,8.073126e-14,0.000000e+00
147,3.322690e-16,0.000000e+00
148,4.914837e-14,0.000000e+00
149,2.594935e-14,0.000000e+00
150,-2.619938e-14,0.000000e+00
151,2.300220e-14,0.000000e+00
152,-2.505945e-15,0.000000e+00
153,3.141930e-14,0.000000e+00
154,3.947088e-14,0.000000e+00
155,5.733576e-15,0.000000e+00
156,2.098912e-14,0.000000e+00
157,-2.830845e-14,0.000000e+00
158,-9.753419e-14,0.000000e+00
159,-2.821182e-14,0.000000e+00
160,-5.065065e-14,0.000000e+00
161,1.721271e-14,0.000000e+00
162,5.219657e-14,0.000000e+00
163,-1.167321e-13,0.000000e+00
164,-4.441699e-14,0.000000e+00
165,1.600633e-14,0.000000e+00
166,-2.539995e-14,0.000000e+00
167,2.131171e-13,0.000000e+00
168,-8.183486e-14,0.000000e+00
169,3.680460e-14,0.000000e+00
170,-9.418610e-14,0.000000e+00
171,-2.828971e-14,0.000000e+00
172,7.281634e-14,0.000000e+00
173,-5.063790e-14,0.000000e+00
174,1.517436e-13,0.000000e+00
175,-9.296801e-14,0.000000e+00
176,4.099071e-16,0.000000e+00
177,1.014205e-14,0.000000e+00
178,-1.555717e-13,0.000000e+00
179,-4.505517e-15,0.000000e+00
180,-4.902541e-13,0.000000e+00
181,-3.766027e-14,0.000000e+00
182,2.109489e-13,0.000000e+00
183,6.309154e-15,0.000000e+00
184,-7.737118e-14,0.000000e+00
185,-1.714540e-13,0.000000e+00
186,-1.766187e-13,0.000000e+00
187,-1.580903e-15,0.000000e+00
188,1.806079e-13,0.000000e+00
189,1.544205e-13,0.000000e+00
190,-1.472761e-13,0.000000e+00
191,-2.533727e-14,0.000000e+00
192,-6.417053e-16,0.000000e+00
193,9.431730e-15,0.000000e+00
194,1.649910e-14,0.000000e+00
195,1.435260e-14,0.000000e+00
196,1.815149e-14,0.000000e+00
197,9.127994e-15,0.000000e+00
198,-1.186068e-14,0.000000e+00
199,-5.922085e-14,0.000000e+00
200,9.175430e-14,0.000000e+00
201,-6.545179e-14,0.000000e+00
202,-3.049650e-15,0.000000e+00
203,1.562387e-14,0.000000e+00
204,8.944490e-15,0.000000e+00
205,-5.603178e-15,0.000000e+00
206,-2.012098e-14,0.000000e+00
207,3.044779e-14,0.000000e+00
208,-2.567828e-16,0.000000e+00
209,5.651313e-14,0.000000e+00
210,-6.237557e-14,0.000000e+00
211,1.366083e-14,0.000000e+00
212,4.872132e-15,0.000000e+00
213,-1.042383e-14,0.000000e+00
214,1.917870e-15,0.000000e+00
215,-2.201668e-14,0.000000e+00
216,1.771529e-14,0.000000e+00
217,-6.415556e-14,0.000000e+00
218,1.405118e-15,0.000000e+00
219,-1.668432e-14,0.000000e+00
220,-1.213303e-14,0.000000e+00
221,6.148847e-16,0.000000e+00
222,-1.207748e-14,0.000000e+00
223,1.462595e-14,0.000000e+00
224,-6.950598e-15,0.000000e+00
225,2.024874e-14,0.000000e+00
226,1.087187e-15,0.000000e+00
227,3.639337e-16,0.000000e+00
228,-2.026098e-15,0.000000e+00
229,-1.706502e-15,0.000000e+00
230,-5.887729e-15,0.000000e+00
231,-8.461991e-19,0.000000e+00
232,-1.233759e-14,0.000000e+00
233,1.478297e-14,0.000000e+00
234,-3.609707e-14,0.000000e+00
235,6.650727e-15,0.000000e+00
236,2.508367e-14,0.000000e+00
237,-3.341583e-14,0.000000e+00
238,-8.365383e-15,0.000000e+00
239,1.721920e-14,0.000000e+00
240,8.754291e-15,0.000000e+00
241,6.786203e-15,0.000000e+00
242,-9.575309e-16,0.000000e+00
243,-2.090585e-15,0.000000e+00
244,4.234444e-16,0.000000e+00
245,1.141049e-16,0.000000e+00
246,1.175861e-14,0.000000e+00
247,-2.596789e-15,0.000000e+00
248,1.490184e-15,0.000000e+00
249,-2.168328e-15,0.000000e+00
250,1.437085e-15,0.000000e+00
251,1.653495e-14,0.000000e+00
252,5.362720e-14,0.000000e+00
253,-1.544454e-14,0.000000e+00
254,1.815700e-14,0.000000e+00
255,9.880048e-16,0.000000e+00
256,-7.710234e-14,0.000000e+00
257,1.468072e-14,0.000000e+00
258,-1.534507e-13,0.000000e+00
259,1.043397e-12,0.000000e+00
260,2.159997e-13,0.000000e+00
261,2.132276e-13,0.000000e+00
262,1.583252e-13,0.000000e+00
263,-9.488270e-13,0.000000e+00
264,-1.489864e-14,0.000000e+00
265,-4.121903e-13,0.000000e+00
266,-2.983926e-15,0.000000e+00
267,-3.279336e-13,0.000000e+00
268,7.571376e-15,0.000000e+00
269,7.162258e-15,0.000000e+00
270,4.598802e-15,0.000000e+00
271,-1.850731e-15,0.000000e+00
272,1.534956e-15,0.000000e+00
273,9.912431e-16,0.000000e+00
274,3.070993e-15,0.000000e+00
275,-1.434676e-15,0.000000e+00
276,-6.448341e-17,0.000000e+00
277,-1.483433e-16,0.000000e+00
278,-1.164317e-16,0.000000e+00
279,-3.239948e-14,0.000000e+00
280,7.421622e-19,0.000000e+00
281,-6.059772e-16,0.000000e+00
282,-6.313877e-17,0.000000e+00
283,-9.102100e-17,0.000000e+00
284,-5.088261e-17,0.000000e+00
285,-8.434750e-17,0.000000e+00
286,-1.652515e-17,0.000000e+00
287,-5.065654e-21,0.000000e+00
288,-5.889768e-18,0.000000e+00
289,1.091901e-17,0.000000e+00
290,7.714568e-18,0.000000e+00
291,3.487344e-18,0.000000e+00
292,-1.135059e-18,0.000000e+00
293,2.213724e-18,0.000000e+00
294,-4.949765e-18,0.000000e+00
295,-6.169113e-21,0.000000e+00
296,-2.421568e-18,0.000000e+00
297,-2.183221e-18,0.000000e+00
298,3.288574e-18,0.000000e+00
299,-1.686223e-20,0.000000e+00
300,1.763288e-18,0.000000e+00
